,time,data
127,1162054.9402754002,"[-0.020058320835232735, -0.013736969791352749, 0.035492490977048874, -0.024717850610613823, -0.017572559416294098, -0.014303820207715034, 0.030488120391964912, -0.024375110864639282, -0.011553660035133362, -0.022148480638861656, -0.006721590179949999, -0.019603369757533073, -0.010662389919161797, -0.02001447044312954, 0.04163442924618721, -0.01366334967315197, -0.00999716017395258, 0.025302430614829063, -0.02081036940217018, -0.028684519231319427, -0.013507760129868984, -0.01177124958485365, -0.01953955926001072, -0.028313620015978813, -0.030616749078035355, -0.02637867070734501, 0.05883911997079849, -0.0147419897839427, -0.014993229880928993, -0.02731546014547348, 0.06956701725721359, 0.019495639950037003, -0.005385675001889467, -0.008057274855673313, -0.008116674609482288, -0.005139600019901991, -0.006511774845421314, -0.006575100123882294, -0.006471650209277868, -0.010467800311744213, -0.0045635998249053955, -0.0076187001541256905, -0.00814727507531643, -0.005103049799799919, -0.006753200199455023, -0.006530649960041046, -0.006606524810194969, -0.010299675166606903, -0.003414750099182129, -0.007977399975061417, -0.007972325198352337, -0.005444350186735392, -0.006466099992394447, -0.0065557751804590225, -0.006405449938029051, -0.010313224978744984, 0.0, 2184372.0]"
128,1162054.9422285252,"[-0.019265340641140938, -0.013270620256662369, 0.03675980865955353, -0.02436201088130474, -0.01734519936144352, -0.013645559549331665, 0.03158413991332054, -0.023962119594216347, -0.011351619847118855, -0.02184128947556019, -0.005164490081369877, -0.019144270569086075, -0.0102665601298213, -0.01959373988211155, 0.0426495298743248, -0.011662119999527931, -0.00933988019824028, 0.026695260778069496, -0.02027497999370098, -0.028430700302124023, -0.013195809908211231, -0.011229639872908592, -0.018735989928245544, -0.02806021086871624, -0.030067209154367447, -0.025846920907497406, 0.05980582907795906, -0.014524740166962147, -0.013518850319087505, -0.02701105922460556, 0.07035040110349655, 0.02093970961868763, -0.0053785499185323715, -0.008057924918830395, -0.008120625279843807, -0.005144175142049789, -0.006518424954265356, -0.006578649859875441, -0.006470949854701757, -0.010472250171005726, -0.004563774913549423, -0.0076219248585402966, -0.008148925378918648, -0.005093825049698353, -0.006753175053745508, -0.006531849969178438, -0.006605824921280146, -0.010305024683475494, -0.003410225035622716, -0.007977849803864956, -0.007973775267601013, -0.005455624777823687, -0.006469150073826313, -0.006559549830853939, -0.006403975188732147, -0.010322924703359604, 0.0, 2184373.0]"
129,1162054.9441816502,"[-0.01790468953549862, -0.012818070128560066, 0.03851749002933502, -0.02408421039581299, -0.017241720110177994, -0.012773729860782623, 0.03299083933234215, -0.023589469492435455, -0.011289490386843681, -0.021657120436429977, -0.0028276899829506874, -0.018732989206910133, -0.009972849860787392, -0.019244160503149033, 0.04396149143576622, -0.008891239762306213, -0.008578499779105186, 0.02825907990336418, -0.019791629165410995, -0.02831391990184784, -0.012994440272450447, -0.010716970078647137, -0.01773696020245552, -0.0279226191341877, -0.02944999933242798, -0.02526460960507393, 0.06112062931060791, -0.014418819919228554, -0.011569789610803127, -0.026750560849905014, 0.07143723964691162, 0.022739039734005928, -0.0053682997822761536, -0.008049975149333477, -0.008113224990665913, -0.00514235021546483, -0.006512174848467112, -0.006570099852979183, -0.006462549790740013, -0.010465100407600403, -0.0045627751387655735, -0.007613299880176783, -0.008139049634337425, -0.005098650231957436, -0.0067444248124957085, -0.00652374979108572, -0.006598975043743849, -0.010295774787664413, -0.0034093500580638647, -0.007969499565660954, -0.007964350283145905, -0.005461775232106447, -0.006463100202381611, -0.0065535251051187515, -0.006394649855792522, -0.010315800085663795, 0.0, 2184374.0]"
130,1162054.9461347752,"[-0.016259459778666496, -0.012595489621162415, 0.039931029081344604, -0.024014350026845932, -0.01731497049331665, -0.012037520296871662, 0.03405880928039551, -0.023447150364518166, -0.01138934027403593, -0.02168652042746544, -0.0008448599837720394, -0.018562840297818184, -0.009931559674441814, -0.019157059490680695, 0.044964149594306946, -0.006627410184592009, -0.008038659580051899, 0.029361790046095848, -0.019613860175013542, -0.028378689661622047, -0.012986280024051666, -0.010475230403244495, -0.01703719049692154, -0.027955859899520874, -0.029027840122580528, -0.02491544932126999, 0.06217382103204727, -0.014474860392510891, -0.009982709772884846, -0.026649529114365578, 0.07233454287052155, 0.02409970946609974, -0.005361425224691629, -0.00804390013217926, -0.008104775100946426, -0.005137150175869465, -0.0065083750523626804, -0.006564424838870764, -0.006463025230914354, -0.010462724603712559, -0.0045476751402020454, -0.007609175052493811, -0.00812860019505024, -0.005107149947434664, -0.0067402999848127365, -0.0065194000490009785, -0.006596224848181009, -0.01028907485306263, -0.0034222248941659927, -0.007965399883687496, -0.007959299720823765, -0.005457825027406216, -0.0064571998082101345, -0.006550475023686886, -0.006392174866050482, -0.010307424701750278, 0.0, 2184375.0]"
131,1162054.9480879002,"[-0.015569290146231651, -0.012852950021624565, 0.04024733975529671, -0.02426031045615673, -0.017550989985466003, -0.012279319576919079, 0.034218158572912216, -0.023720620200037956, -0.011613979935646057, -0.021959809586405754, -0.0005736700259149075, -0.01887062005698681, -0.010240909643471241, -0.019491419196128845, 0.04511282965540886, -0.006123949773609638, -0.00837039016187191, 0.029421810060739517, -0.02000976912677288, -0.028622940182685852, -0.013251320458948612, -0.010834700427949429, -0.017402570694684982, -0.02818276919424534, -0.029268840327858925, -0.025183049961924553, 0.06239520013332367, -0.014692390337586403, -0.009675039909780025, -0.026846790686249733, 0.07253602892160416, 0.02430235967040062, -0.005351275205612183, -0.008032824844121933, -0.008096424862742424, -0.005132975056767464, -0.006501675117760897, -0.00655634980648756, -0.006457100156694651, -0.010452674701809883, -0.004537775181233883, -0.007605399936437607, -0.00812162458896637, -0.005104824900627136, -0.006734475027769804, -0.006511549931019545, -0.006590600125491619, -0.010276424698531628, -0.0034400499425828457, -0.007958725094795227, -0.007955200038850307, -0.005451074801385403, -0.0064490498043596745, -0.0065414500422775745, -0.0063847750425338745, -0.010293800383806229, 0.0, 2184376.0]"
132,1162054.9500410252,"[-0.016721809282898903, -0.013417409732937813, 0.0392645001411438, -0.024681970477104187, -0.01782255992293358, -0.013320200145244598, 0.03337666019797325, -0.024226650595664978, -0.011855320073664188, -0.022323690354824066, -0.002403570106253028, -0.019444439560174942, -0.010703669860959053, -0.020026719197630882, 0.044343460351228714, -0.007752889767289162, -0.009333759546279907, 0.028352810069918633, -0.020703449845314026, -0.028918340802192688, -0.013636419549584389, -0.011546679772436619, -0.018596170470118523, -0.02848546952009201, -0.03004137985408306, -0.025918619707226753, 0.06163451075553894, -0.014955669641494751, -0.010864599607884884, -0.02724462002515793, 0.0719090923666954, 0.023211289197206497, -0.005358349997550249, -0.008033749647438526, -0.008097750134766102, -0.005131225101649761, -0.006501724943518639, -0.006559775210916996, -0.006459274794906378, -0.010454325005412102, -0.004532049875706434, -0.007605425082147121, -0.008122299797832966, -0.005102024879306555, -0.006737549789249897, -0.006516550201922655, -0.0065934001468122005, -0.010275349952280521, -0.0034355251118540764, -0.007961399853229523, -0.007957224734127522, -0.005452299956232309, -0.006453199777752161, -0.006544474977999926, -0.006384550128132105, -0.010294100269675255, 0.0, 2184377.0]"
133,1162054.9519941502,"[-0.01847209967672825, -0.013904250226914883, 0.03750495985150337, -0.025008920580148697, -0.017978740856051445, -0.014246920123696327, 0.03194262832403183, -0.024624450132250786, -0.01196782011538744, -0.022562339901924133, -0.0051345000974833965, -0.019890140742063522, -0.011023970320820808, -0.020398490130901337, 0.043014030903577805, -0.010620820336043835, -0.010110779665410519, 0.02671786956489086, -0.02119613066315651, -0.029087010771036148, -0.01388073991984129, -0.012089510448276997, -0.019600680097937584, -0.028668519109487534, -0.030728459358215332, -0.026567090302705765, 0.06025587022304535, -0.01511306967586279, -0.012851949781179428, -0.027563979849219322, 0.0707554817199707, 0.021346839144825935, -0.005353350192308426, -0.008039974607527256, -0.008100549690425396, -0.005127899814397097, -0.006503900047391653, -0.006560950074344873, -0.006460925098508596, -0.01045327540487051, -0.004527450073510408, -0.007605275139212608, -0.008125700056552887, -0.005100400187075138, -0.006736550014466047, -0.0065171001479029655, -0.0065981498919427395, -0.010274775326251984, -0.003428474999964237, -0.007962425239384174, -0.007958450354635715, -0.005450425203889608, -0.006456450093537569, -0.006543925032019615, -0.006387474946677685, -0.01029182504862547, 0.0, 2184378.0]"
134,1162054.9539472752,"[-0.019675809890031815, -0.014059189707040787, 0.035955820232629776, -0.0250718891620636, -0.017930539324879646, -0.014612389728426933, 0.030708830803632736, -0.02471200004220009, -0.011886030435562134, -0.022552520036697388, -0.0067971497774124146, -0.01998947001993656, -0.01104701030999422, -0.020437369123101234, 0.041883211582899094, -0.013090570457279682, -0.010367309674620628, 0.025425180792808533, -0.02128094993531704, -0.029045600444078445, -0.013871310278773308, -0.012212219648063183, -0.019934719428420067, -0.028637290000915527, -0.030961720272898674, -0.026782089844346046, 0.0590602308511734, -0.015080530196428299, -0.014505109749734402, -0.02763896994292736, 0.06974125653505325, 0.019741240888834, -0.005367000121623278, -0.008055849932134151, -0.00810872483998537, -0.005132399965077639, -0.0065140752121806145, -0.006574649829417467, -0.006468174979090691, -0.010464999824762344, -0.004535149782896042, -0.007614600006490946, -0.008134025149047375, -0.005100424867123365, -0.006743925157934427, -0.006526099983602762, -0.006607050076127052, -0.010286925360560417, -0.0034175498876720667, -0.007969499565660954, -0.00796709954738617, -0.005447099916636944, -0.006467199884355068, -0.006554475054144859, -0.0063958498649299145, -0.010301999747753143, 0.0, 2184379.0]"
135,1162054.9559004002,"[-0.020163139328360558, -0.013903030194342136, 0.03533387929201126, -0.024894610047340393, -0.017725499346852303, -0.014515860006213188, 0.030271990224719048, -0.024527790024876595, -0.011670920066535473, -0.022330129519104958, -0.007095059845596552, -0.019792260602116585, -0.010817330330610275, -0.02020403929054737, 0.04146441072225571, -0.014032360166311264, -0.010205999948084354, 0.025104740634560585, -0.02104461006820202, -0.028837459161877632, -0.013668820261955261, -0.012002330273389816, -0.01975701004266739, -0.028437670320272446, -0.030816899612545967, -0.026622040197253227, 0.058532990515232086, -0.014892109669744968, -0.015132459811866283, -0.027500160038471222, 0.06933096051216125, 0.01915276050567627, -0.005378250032663345, -0.008060899563133717, -0.00811500009149313, -0.00512897502630949, -0.006515949964523315, -0.0065780747681856155, -0.006470600143074989, -0.010469299741089344, -0.004542300011962652, -0.007616499904543161, -0.008136174641549587, -0.0051055001094937325, -0.006745149847120047, -0.006527199875563383, -0.006605424918234348, -0.01029017474502325, -0.0034276500809937716, -0.007969750091433525, -0.007970974780619144, -0.005451600067317486, -0.006470649968832731, -0.006557750049978495, -0.006400525104254484, -0.010307200253009796, 0.0, 2184380.0]"
136,1162054.9578535252,"[-0.01981554925441742, -0.0135205602273345, 0.03597807139158249, -0.02457164041697979, -0.017470570281147957, -0.014036940410733223, 0.03088247962296009, -0.02417745068669319, -0.011433039791882038, -0.022004509344697, -0.006229630205780268, -0.019397540017962456, -0.010438759811222553, -0.019803080707788467, 0.04200565814971924, -0.012950309552252293, -0.009693910367786884, 0.025966349989175797, -0.020589759573340416, -0.028558310121297836, -0.013364410027861595, -0.011551610194146633, -0.01915121078491211, -0.028173159807920456, -0.030395330861210823, -0.02618608996272087, 0.05897773057222366, -0.014642870053648949, -0.014344610273838043, -0.027218129485845566, 0.06976789236068726, 0.019976910203695297, -0.005388549994677305, -0.008064274676144123, -0.008121974766254425, -0.005133550148457289, -0.006518824957311153, -0.006580899935215712, -0.006473950110375881, -0.010475150309503078, -0.004556925036013126, -0.007624675054103136, -0.008140750229358673, -0.00511537492275238, -0.006752249784767628, -0.006532350089401007, -0.006610500160604715, -0.01029760017991066, -0.003430024953559041, -0.007977399975061417, -0.00797677505761385, -0.005455350037664175, -0.006472299806773663, -0.006564099807292223, -0.00640572514384985, -0.010318825021386147, 0.0, 2184381.0]"
137,1162054.9598066502,"[-0.01871049962937832, -0.01304125040769577, 0.037584010511636734, -0.024231059476733208, -0.017285630106925964, -0.013265769928693771, 0.03223888948559761, -0.023772239685058594, -0.011288120411336422, -0.021721910685300827, -0.00416547991335392, -0.018931439146399498, -0.010064790025353432, -0.0193660706281662, 0.043214909732341766, -0.010367150418460369, -0.008931750431656837, 0.027505140751600266, -0.020052870735526085, -0.02835492044687271, -0.01308801956474781, -0.010997430421411991, -0.018206369131803513, -0.027969609946012497, -0.029782209545373917, -0.025593150407075882, 0.06018748879432678, -0.014454459771513939, -0.012522920034825802, -0.02690616063773632, 0.07084886729717255, 0.021745020523667336, -0.005386025179177523, -0.008055049926042557, -0.00811802502721548, -0.005142325069755316, -0.006510925013571978, -0.006574824918061495, -0.006465900223702192, -0.010466850362718105, -0.004565349780023098, -0.007617275230586529, -0.008137949742376804, -0.00511152483522892, -0.006747399922460318, -0.006527000106871128, -0.006602524779736996, -0.01029259990900755, -0.003445724956691265, -0.007973824627697468, -0.007971424609422684, -0.005454299971461296, -0.0064627500250935555, -0.006554950028657913, -0.006395924836397171, -0.01031539961695671, 0.0, 2184382.0]"
138,1162054.9617597752,"[-0.017181849107146263, -0.01267625018954277, 0.03927486017346382, -0.02404196932911873, -0.01726387068629265, -0.012416070327162743, 0.033587269484996796, -0.02349786087870598, -0.011310409754514694, -0.021630199626088142, -0.0017730899853631854, -0.018607059493660927, -0.009891999885439873, -0.01911463961005211, 0.044392649084329605, -0.007660230156034231, -0.00819133035838604, 0.02890677936375141, -0.019695190712809563, -0.028336089104413986, -0.012975689955055714, -0.010584269650280476, -0.017286960035562515, -0.027922160923480988, -0.029179520905017853, -0.02508440986275673, 0.06147683039307594, -0.014424189925193787, -0.010637929663062096, -0.026698140427470207, 0.07198233902454376, 0.02345832996070385, -0.005365349818021059, -0.008048299700021744, -0.008111599832773209, -0.005142900161445141, -0.0065079000778496265, -0.0065691000781953335, -0.006460925098508596, -0.010461850091814995, -0.004557425156235695, -0.007610850036144257, -0.008133149705827236, -0.005113149993121624, -0.006745350081473589, -0.006522399839013815, -0.006599649786949158, -0.01029022503644228, -0.0034293499775230885, -0.007971449755132198, -0.007967274636030197, -0.005456725135445595, -0.006459400057792664, -0.0065490249544382095, -0.006393025163561106, -0.010312825441360474, 0.0, 2184383.0]"
139,1162054.9637129002,"[-0.01578149013221264, -0.012656929902732372, 0.04026459902524948, -0.024120640009641647, -0.017417509108781815, -0.012073320336639881, 0.034321580082178116, -0.0235265102237463, -0.01147036999464035, -0.021775340661406517, -0.0003534599964041263, -0.01864521950483322, -0.010040259920060635, -0.019208060577511787, 0.045039158314466476, -0.006005370058119297, -0.00799562968313694, 0.029589209705591202, -0.019760210067033768, -0.028496649116277695, -0.013089699670672417, -0.010602469556033611, -0.017019810155034065, -0.02804815024137497, -0.028986189514398575, -0.02500857040286064, 0.0622030608355999, -0.014558839611709118, -0.009553629904985428, -0.02672608010470867, 0.07264461368322372, 0.024433640763163567, -0.00534837506711483, -0.008035775274038315, -0.008101224899291992, -0.00513404980301857, -0.0065015750005841255, -0.006557700224220753, -0.006455599796026945, -0.010451650246977806, -0.004554274957627058, -0.0076019251719117165, -0.008122299797832966, -0.005104349926114082, -0.0067394501529634, -0.0065148998983204365, -0.006591424811631441, -0.010277350433170795, -0.003432899946346879, -0.007963050156831741, -0.00795817468315363, -0.00546154985204339, -0.006451399996876717, -0.006540575064718723, -0.006384599953889847, -0.010297824628651142, 0.0, 2184384.0]"
140,1162054.9656660252,"[-0.015968769788742065, -0.013093169778585434, 0.039979949593544006, -0.02446833997964859, -0.017683539539575577, -0.012796440161764622, 0.03398679941892624, -0.023917339742183685, -0.011713559739291668, -0.022122159600257874, -0.001069089979864657, -0.019126420840620995, -0.010481080040335655, -0.019677309319376945, 0.04470646008849144, -0.006498809903860092, -0.008741919882595539, 0.029072929173707962, -0.02033773995935917, -0.028779659420251846, -0.013421219773590565, -0.011174660176038742, -0.017886260524392128, -0.028320839628577232, -0.029534390196204185, -0.02555106021463871, 0.06192953139543533, -0.01480288989841938, -0.009995019994676113, -0.02703836001455784, 0.07244922965765, 0.024050699546933174, -0.005343025084584951, -0.008032349869608879, -0.00809792522341013, -0.005122574977576733, -0.006500650197267532, -0.006558599881827831, -0.006457725074142218, -0.010451724752783775, -0.004541224800050259, -0.007601425051689148, -0.008122124709188938, -0.005087399855256081, -0.006740975193679333, -0.006515350192785263, -0.006592149846255779, -0.010275599546730518, -0.0034103000070899725, -0.00796202477067709, -0.00795777514576912, -0.00546507490798831, -0.006453374866396189, -0.006541550159454346, -0.00638667494058609, -0.010293000377714634, 0.0, 2184385.0]"
141,1162054.9676191502,"[-0.01760322041809559, -0.013658760115504265, 0.038522008806467056, -0.024858340620994568, -0.017915019765496254, -0.013880870305001736, 0.032728929072618484, -0.0243984404951334, -0.011904380284249783, -0.02245406061410904, -0.003620849922299385, -0.019696569070219994, -0.01091025024652481, -0.020177239552140236, 0.043563928455114365, -0.008911400102078915, -0.009732919745147228, 0.027593089267611504, -0.020973030477762222, -0.029031740501523018, -0.01375683955848217, -0.011837390251457691, -0.01912813074886799, -0.02858204022049904, -0.030345290899276733, -0.026279019191861153, 0.06077786162495613, -0.015032409690320492, -0.011729209683835506, -0.02741366997361183, 0.07149337232112885, 0.022453730925917625, -0.0053369998931884766, -0.008030599914491177, -0.008095099590718746, -0.005116649903357029, -0.006502449978142977, -0.006558049935847521, -0.006456474773585796, -0.010448450222611427, -0.004540400113910437, -0.007599074859172106, -0.008120100013911724, -0.005081649869680405, -0.006740699987858534, -0.006513400003314018, -0.006594299804419279, -0.010273675434291363, -0.0033909250050783157, -0.007956424728035927, -0.007956675253808498, -0.005456550046801567, -0.006453149951994419, -0.006543775089085102, -0.006389175076037645, -0.010288825258612633, 0.0, 2184386.0]"
142,1162054.9695722752,"[-0.019116409122943878, -0.01399116963148117, 0.036787908524274826, -0.025050610303878784, -0.01797237992286682, -0.014525170437991619, 0.03129670023918152, -0.024648090824484825, -0.011922859586775303, -0.02256985940039158, -0.006044160109013319, -0.019976269453763962, -0.011068649590015411, -0.02039816975593567, 0.04227748140692711, -0.011777729727327824, -0.01027499046176672, 0.02602219022810459, -0.021258600056171417, -0.029091639444231987, -0.01388482004404068, -0.012166500091552734, -0.019827120006084442, -0.02866167016327381, -0.030819859355688095, -0.026696419343352318, 0.05942578986287117, -0.01510000042617321, -0.013677939772605896, -0.027615180239081383, 0.07036933302879333, 0.020565509796142578, -0.005356050096452236, -0.008041474968194962, -0.00810287520289421, -0.0051322998479008675, -0.0065109748393297195, -0.00656779995188117, -0.006465250160545111, -0.010458424687385559, -0.004543549846857786, -0.0076084500178694725, -0.008128575049340725, -0.005090024787932634, -0.006746849976480007, -0.006521124858409166, -0.006601674947887659, -0.01028394978493452, -0.0034018249716609716, -0.007965450175106525, -0.007963525131344795, -0.005444149952381849, -0.006461049895733595, -0.006553024984896183, -0.006396024953573942, -0.0102999247610569, 0.0, 2184387.0]"
143,1162054.9715254002,"[-0.02001997083425522, -0.014003070071339607, 0.035594429820775986, -0.024992389604449272, -0.017840800806879997, -0.014650220051407814, 0.030347319319844246, -0.02460361085832119, -0.0117737902328372, -0.022454440593719482, -0.007071929983794689, -0.01992502063512802, -0.010951509699225426, -0.02031818963587284, 0.04143156111240387, -0.013675009831786156, -0.010347750037908554, 0.025139220058918, -0.021174199879169464, -0.028958339244127274, -0.013781320303678513, -0.012140939943492413, -0.019927389919757843, -0.028548210859298706, -0.03087078034877777, -0.02671412006020546, 0.058498188853263855, -0.014982109889388084, -0.014944669790565968, -0.027581220492720604, 0.06958489120006561, 0.0193510502576828, -0.005366399884223938, -0.00804859958589077, -0.008112150244414806, -0.005129725206643343, -0.0065130749717354774, -0.00657132500782609, -0.006467824801802635, -0.010464425198733807, -0.004553900100290775, -0.007613524794578552, -0.00813212525099516, -0.005094700027257204, -0.006751350127160549, -0.0065240999683737755, -0.006601349916309118, -0.010287725366652012, -0.0034047251101583242, -0.007971200160682201, -0.007968350313603878, -0.005439349915832281, -0.006463975179940462, -0.006553949788212776, -0.006396249867975712, -0.010306400246918201, 0.0, 2184388.0]"
144,1162054.9734785252,"[-0.020094260573387146, -0.013719510287046432, 0.0355965681374073, -0.024731509387493134, -0.017586499452590942, -0.01434416975826025, 0.03036496974527836, -0.024319609627127647, -0.011526409536600113, -0.022159159183502197, -0.006790060084313154, -0.01960829086601734, -0.010622070170938969, -0.019991209730505943, 0.04150925949215889, -0.013558769598603249, -0.010010460391640663, 0.025485359132289886, -0.020804889500141144, -0.028696129098534584, -0.01350334007292986, -0.011810939759016037, -0.019540460780262947, -0.028296569362282753, -0.030578849837183952, -0.026407279074192047, 0.05847150832414627, -0.014750679954886436, -0.014836769551038742, -0.027346370741724968, 0.06956598907709122, 0.01950306072831154, -0.005374724976718426, -0.008057675324380398, -0.00812315009534359, -0.005128699820488691, -0.0065195499919354916, -0.0065793502144515514, -0.006473674904555082, -0.010476725175976753, -0.004556550178676844, -0.007623150013387203, -0.0081429248675704, -0.005097874905914068, -0.0067580752074718475, -0.006531449966132641, -0.006608325056731701, -0.010298449546098709, -0.003415825078263879, -0.007977725006639957, -0.007975975051522255, -0.005443024914711714, -0.006470074877142906, -0.006558299995958805, -0.006400724872946739, -0.01032162457704544, 0.0, 2184389.0]"
145,1162054.9754316502,"[-0.019362030550837517, -0.01327166985720396, 0.036760829389095306, -0.02438928931951523, -0.01734789088368416, -0.01372591033577919, 0.03134765103459358, -0.02391728013753891, -0.011320569552481174, -0.021833309903740883, -0.005346990190446377, -0.019166819751262665, -0.010230840183794498, -0.019557669758796692, 0.04243183881044388, -0.011671439744532108, -0.009371270425617695, 0.0268075093626976, -0.020299140363931656, -0.028436850756406784, -0.013187659904360771, -0.011298510245978832, -0.018786989152431488, -0.028041360899806023, -0.030056390911340714, -0.02589121088385582, 0.059342481195926666, -0.01453142985701561, -0.013467569835484028, -0.027038449421525, 0.07030847668647766, 0.020891930907964706, -0.0053801750764250755, -0.008058224804699421, -0.008123724721372128, -0.005126675125211477, -0.006516550201922655, -0.006576424930244684, -0.006470299791544676, -0.010473424568772316, -0.004553975071758032, -0.0076211001724004745, -0.008142399601638317, -0.005103224888443947, -0.006754950154572725, -0.00652627507224679, -0.006603649817407131, -0.010297450236976147, -0.003444249974563718, -0.007974900305271149, -0.007974149659276009, -0.0054544247686862946, -0.006468500010669231, -0.006554425228387117, -0.006394925061613321, -0.010322400368750095, 0.0, 2184390.0]"
146,1162054.9773847752,"[-0.018020259216427803, -0.012810000218451023, 0.038493238389492035, -0.02410591021180153, -0.017236659303307533, -0.01289466954767704, 0.03278538957238197, -0.02353041060268879, -0.011241880245506763, -0.021626820787787437, -0.002992949914187193, -0.018739569932222366, -0.009934639558196068, -0.019185779616236687, 0.04372663050889969, -0.008838060311973095, -0.008581659756600857, 0.028401050716638565, -0.01981361024081707, -0.028298620134592056, -0.012960770167410374, -0.01077663991600275, -0.017820129171013832, -0.027888210490345955, -0.0293950904160738, -0.025321219116449356, 0.060665279626846313, -0.014413540251553059, -0.011449020355939865, -0.02676950953900814, 0.07141315937042236, 0.022765139117836952, -0.005370450206100941, -0.008054000325500965, -0.008119399659335613, -0.005123124923557043, -0.00651674997061491, -0.006571299862116575, -0.006465400103479624, -0.01046997494995594, -0.004556375090032816, -0.007618125062435865, -0.008138149976730347, -0.005118275061249733, -0.006750800181180239, -0.006524074822664261, -0.006598949898034334, -0.010296749882400036, -0.0034336750395596027, -0.007973849773406982, -0.007971525192260742, -0.0054611749947071075, -0.00646492512896657, -0.006553799845278263, -0.0063962251879274845, -0.010321925394237041, 0.0, 2184391.0]"
147,1162054.9793379002,"[-0.01639951951801777, -0.012568299658596516, 0.03992680832743645, -0.024021709337830544, -0.01730485074222088, -0.01220007985830307, 0.0339384600520134, -0.0233631394803524, -0.011323969811201096, -0.02164142020046711, -0.0008658699807710946, -0.018538089469075203, -0.009894110262393951, -0.019069520756602287, 0.04474607855081558, -0.006481340155005455, -0.007994900457561016, 0.02954363077878952, -0.01960946060717106, -0.028355099260807037, -0.012939260341227055, -0.010510220192372799, -0.017087319865822792, -0.027908500283956528, -0.02888702042400837, -0.024965260177850723, 0.06178196892142296, -0.01445809006690979, -0.009745200164616108, -0.026656610891222954, 0.07235102355480194, 0.024205489084124565, -0.00535322492942214, -0.00803735014051199, -0.008103650063276291, -0.005131400190293789, -0.006507025100290775, -0.006560049951076508, -0.006456200033426285, -0.010456849820911884, -0.00455954996868968, -0.007607350125908852, -0.008129149675369263, -0.005104150157421827, -0.006741425022482872, -0.006513800006359816, -0.006589674856513739, -0.010283274576067924, -0.0034224248956888914, -0.007963274605572224, -0.007963525131344795, -0.0054656751453876495, -0.0064541250467300415, -0.006544400006532669, -0.0063882749527692795, -0.010307000018656254, 0.0, 2184392.0]"
148,1162054.9812914,"[-0.015624890103936195, -0.012812609784305096, 0.04030948877334595, -0.02424997091293335, -0.017534960061311722, -0.012395909987390041, 0.034181859344244, -0.023603560402989388, -0.011545569635927677, -0.021897269412875175, -0.00044788001105189323, -0.018813300877809525, -0.010202930308878422, -0.019374189898371696, 0.04494040086865425, -0.00588743994012475, -0.008273869752883911, 0.029668470844626427, -0.01997469924390316, -0.028588799759745598, -0.013186220079660416, -0.010812410153448582, -0.01736791990697384, -0.028129560872912407, -0.029056180268526077, -0.02519587054848671, 0.062098581343889236, -0.014656970277428627, -0.009331069886684418, -0.02682526968419552, 0.07258927077054977, 0.0244839396327734, -0.005353500135242939, -0.008034424856305122, -0.008095525205135345, -0.005126100033521652, -0.006503275129944086, -0.0065599000081419945, -0.006456450093537569, -0.010452549904584885, -0.0045560249127447605, -0.007605350110679865, -0.008125199936330318, -0.0050905002281069756, -0.006738999858498573, -0.006513374857604504, -0.006591049954295158, -0.010279675014317036, -0.0034335749223828316, -0.007962925359606743, -0.007959075272083282, -0.005458374973386526, -0.006452775094658136, -0.006539899855852127, -0.0063865999691188335, -0.010299225337803364, 0.0, 2184393.0]"
149,1162054.983244525,"[-0.016645869240164757, -0.013372289948165417, 0.03944389149546623, -0.02465786039829254, -0.017810940742492676, -0.013372300192713737, 0.03340553119778633, -0.024103689938783646, -0.011795910075306892, -0.02226209081709385, -0.002153219887986779, -0.019385969266295433, -0.010679090395569801, -0.01991599053144455, 0.044208161532878876, -0.007432159967720509, -0.009235640056431293, 0.028636280447244644, -0.020647749304771423, -0.028883500024676323, -0.013562080450356007, -0.01148097962141037, -0.018524840474128723, -0.02842991054058075, -0.029815789312124252, -0.02590728923678398, 0.0614081509411335, -0.014912170358002186, -0.010386940091848373, -0.02720003016293049, 0.07198333740234375, 0.02343457005918026, -0.00534567516297102, -0.008032450452446938, -0.008092224597930908, -0.005117550026625395, -0.006500700023025274, -0.006555525120347738, -0.006456874776631594, -0.010442100465297699, -0.004551350139081478, -0.007603549864143133, -0.00811814982444048, -0.00508822500705719, -0.006736674811691046, -0.00651152478531003, -0.006588850170373917, -0.010271075181663036, -0.0034405249170958996, -0.007960274815559387, -0.007956650108098984, -0.005456024780869484, -0.006451699882745743, -0.00653580017387867, -0.0063819498755037785, -0.010289600118994713, 0.0, 2184394.0]"
