,time,data
10,1162054.7117596501,"[-0.017039069905877113, -0.012500209733843803, 0.03956466168165207, -0.023813560605049133, -0.017064759507775307, -0.012285550124943256, 0.033423859626054764, -0.023267820477485657, -0.011135869659483433, -0.021470319479703903, -0.0012018400011584163, -0.01843743957579136, -0.009723110124468803, -0.01894875057041645, 0.04390957951545715, -0.00748693011701107, -0.008132919669151306, 0.028269970789551735, -0.019498420879244804, -0.028102869167923927, -0.012783260084688663, -0.010414529591798782, -0.01723496988415718, -0.027693629264831543, -0.02892819046974182, -0.02509183995425701, 0.06114199012517929, -0.014233959838747978, -0.0116177499294281, -0.026558559387922287, 0.07115467637777328, 0.02343039959669113, -0.005371274892240763, -0.008047775365412235, -0.008110525086522102, -0.005121175199747086, -0.006508225109428167, -0.006567299831658602, -0.006465800106525421, -0.010467775166034698, -0.004559100139886141, -0.007611100096255541, -0.008132575079798698, -0.005117175169289112, -0.006746174767613411, -0.006522024981677532, -0.006597749888896942, -0.010288700461387634, -0.003423050045967102, -0.007970024831593037, -0.007963774725794792, -0.005448224954307079, -0.0064627500250935555, -0.006551649887114763, -0.006393849849700928, -0.01031120028346777, 0.0, 2184255.0]"
11,1162054.7137127751,"[-0.01560662966221571, -0.012462870217859745, 0.04055267944931984, -0.023879049345850945, -0.017212940379977226, -0.011884340085089207, 0.034177280962467194, -0.02328380011022091, -0.01130346953868866, -0.02160811983048916, 0.00032764000934548676, -0.018469909206032753, -0.009837009944021702, -0.01902374066412449, 0.04461817815899849, -0.005791509989649057, -0.007925709709525108, 0.02898080088198185, -0.019573740661144257, -0.02825428918004036, -0.012900670059025288, -0.010436030104756355, -0.01694325916469097, -0.027821090072393417, -0.02876907028257847, -0.025039300322532654, 0.061902791261672974, -0.014370789751410484, -0.010554580017924309, -0.026603080332279205, 0.07179996371269226, 0.024357909336686134, -0.005354024935513735, -0.008036100305616856, -0.008098900318145752, -0.005125075113028288, -0.0065017747692763805, -0.006559925153851509, -0.006456099916249514, -0.010455475188791752, -0.0045588999055325985, -0.00760532496497035, -0.008125575259327888, -0.005108974874019623, -0.006737724877893925, -0.006514349952340126, -0.006588649936020374, -0.010278425179421902, -0.003420524997636676, -0.007960399612784386, -0.007956424728035927, -0.005450725089758635, -0.006455849856138229, -0.006544924806803465, -0.006387149915099144, -0.010296625085175037, 0.0, 2184256.0]"
12,1162054.7156659001,"[-0.015757039189338684, -0.012896710075438023, 0.04026820883154869, -0.024234920740127563, -0.017484150826931, -0.012558190152049065, 0.03385597839951515, -0.02369016967713833, -0.011556319892406464, -0.021942490711808205, -0.00029714000993408263, -0.018954360857605934, -0.010270290076732635, -0.019475309178233147, 0.04431511089205742, -0.006250080186873674, -0.008638840168714523, 0.028463879600167274, -0.020176809281110764, -0.0285407193005085, -0.013253070414066315, -0.011020979844033718, -0.017809249460697174, -0.028111090883612633, -0.029329480603337288, -0.025564629584550858, 0.06168299913406372, -0.014627840369939804, -0.01100012008100748, -0.02690066024661064, 0.07158517837524414, 0.023946339264512062, -0.005344550125300884, -0.008032400161027908, -0.008096350356936455, -0.005127024836838245, -0.006500575225800276, -0.006561874877661467, -0.006457075010985136, -0.010455125011503696, -0.004543050192296505, -0.007603925187140703, -0.008123025298118591, -0.005096749868243933, -0.006734900176525116, -0.006514974869787693, -0.006586974952369928, -0.010274600237607956, -0.003412750083953142, -0.007958600297570229, -0.007954775355756283, -0.00544507522135973, -0.006453900132328272, -0.006545024923980236, -0.006390274967998266, -0.010290199890732765, 0.0, 2184257.0]"
13,1162054.7176190251,"[-0.017374610528349876, -0.013463020324707031, 0.038853488862514496, -0.024636439979076385, -0.01771087944507599, -0.013635200448334217, 0.032638899981975555, -0.024178020656108856, -0.011741969734430313, -0.022264089435338974, -0.002735279966145754, -0.01949715055525303, -0.010712260380387306, -0.019974110648036003, 0.04319315031170845, -0.008621759712696075, -0.009582620114088058, 0.027004020288586617, -0.020805789157748222, -0.028793809935450554, -0.013582710176706314, -0.011684689670801163, -0.01899796910583973, -0.028377169743180275, -0.030129630118608475, -0.026231639087200165, 0.06062394008040428, -0.014847599901258945, -0.01267146971076727, -0.027248069643974304, 0.07063236087560654, 0.022417640313506126, -0.005348400212824345, -0.008032199926674366, -0.008093824610114098, -0.005125700030475855, -0.006498599890619516, -0.0065639750100672245, -0.006457924842834473, -0.01045142486691475, -0.004530274774879217, -0.007601724937558174, -0.008120975457131863, -0.005101425107568502, -0.0067351749166846275, -0.006512225139886141, -0.006588675081729889, -0.010270349681377411, -0.0034106499515473843, -0.00795689970254898, -0.00795419979840517, -0.005438399966806173, -0.006451900117099285, -0.006541724782437086, -0.006389025133103132, -0.010287424549460411, 0.0, 2184258.0]"
14,1162054.7195721501,"[-0.018894610926508904, -0.013792820274829865, 0.03714193031191826, -0.02483409084379673, -0.017757849767804146, -0.014277409762144089, 0.031246310099959373, -0.024439290165901184, -0.011758520267903805, -0.022380929440259933, -0.005262610036879778, -0.0197534691542387, -0.010897570289671421, -0.02021721936762333, 0.041893430054187775, -0.011466209776699543, -0.0101017402485013, 0.025466499850153923, -0.021099159494042397, -0.02886256016790867, -0.013703550212085247, -0.012015219777822495, -0.019670769572257996, -0.028463520109653473, -0.0306119192391634, -0.026603639125823975, 0.05932268127799034, -0.014901449903845787, -0.014565270394086838, -0.02742590941488743, 0.0695086121559143, 0.020639099180698395, -0.0053588999435305595, -0.008043450303375721, -0.008102799765765667, -0.0051216501742601395, -0.006508550141006708, -0.006572349928319454, -0.006466700229793787, -0.010462325066328049, -0.004541299771517515, -0.007611350156366825, -0.008131424896419048, -0.0050946748815476894, -0.0067460499703884125, -0.006520249880850315, -0.006599674932658672, -0.010281750001013279, -0.0033948500640690327, -0.00796504970639944, -0.007963274605572224, -0.005442250054329634, -0.006460600066930056, -0.006547024939209223, -0.006396150216460228, -0.010297625325620174, 0.0, 2184259.0]"
15,1162054.7215252751,"[-0.01981394924223423, -0.013812189921736717, 0.035894449800252914, -0.024787569418549538, -0.017627960070967674, -0.014419600367546082, 0.030300049111247063, -0.02441743016242981, -0.011614720337092876, -0.022268909960985184, -0.006501839961856604, -0.01970192976295948, -0.010807939805090427, -0.020150519907474518, 0.04101952910423279, -0.013400759547948837, -0.010176800191402435, 0.024555150419473648, -0.021044710651040077, -0.02873804047703743, -0.01361131016165018, -0.011992470361292362, -0.019780950620770454, -0.028362320736050606, -0.030685339123010635, -0.026615960523486137, 0.058397579938173294, -0.014787719585001469, -0.01585361920297146, -0.027396230027079582, 0.06872598826885223, 0.019426409155130386, -0.005365299992263317, -0.008051799610257149, -0.008110299706459045, -0.005115000065416098, -0.006512424908578396, -0.006575224921107292, -0.006471024826169014, -0.010465225204825401, -0.004556674975901842, -0.007614799775183201, -0.008138800039887428, -0.005093900021165609, -0.006747649982571602, -0.006523374933749437, -0.00660530012100935, -0.010286849923431873, -0.003404000075533986, -0.007970799691975117, -0.007966425269842148, -0.0054495250806212425, -0.006464074831455946, -0.006547850091010332, -0.006400600075721741, -0.010305824689567089, 0.0, 2184260.0]"
16,1162054.7234784001,"[-0.019917000085115433, -0.01354449987411499, 0.03582150861620903, -0.0245391596108675, -0.0173853300511837, -0.014140909537672997, 0.030316760763525963, -0.024161340668797493, -0.011372690089046955, -0.02197933942079544, -0.0062852101400494576, -0.019385719671845436, -0.010506929829716682, -0.019832270219922066, 0.041092969477176666, -0.013364770449697971, -0.00985580962151289, 0.024847470223903656, -0.020695259794592857, -0.028483059257268906, -0.0133557403460145, -0.011656120419502258, -0.01940641924738884, -0.028124909847974777, -0.03039902076125145, -0.02633935958147049, 0.0583701990544796, -0.014567329548299313, -0.015814799815416336, -0.027190519496798515, 0.06871367990970612, 0.01951969973742962, -0.005374025087803602, -0.008062425069510937, -0.00812077522277832, -0.005119800101965666, -0.006518850103020668, -0.006581725087016821, -0.006475274916738272, -0.010473649948835373, -0.0045674750581383705, -0.007623674813657999, -0.008142650127410889, -0.005106150172650814, -0.00675129983574152, -0.006531250197440386, -0.006610299926251173, -0.010298649780452251, -0.0034115249291062355, -0.007978850044310093, -0.007973074913024902, -0.00545069994404912, -0.006470874883234501, -0.00655502500012517, -0.006405774969607592, -0.010317999869585037, 0.0, 2184261.0]"
17,1162054.7254315251,"[-0.019190439954400063, -0.013098269701004028, 0.036954231560230255, -0.02419397048652172, -0.017149340361356735, -0.013509009964764118, 0.03130076825618744, -0.023783870041370392, -0.01116384007036686, -0.02167190983891487, -0.004759970121085644, -0.018930800259113312, -0.010122659616172314, -0.019414229318499565, 0.04202350974082947, -0.011511179618537426, -0.009220469743013382, 0.026160379871726036, -0.020184999331831932, -0.028229089453816414, -0.013064670376479626, -0.011123750358819962, -0.01862988993525505, -0.027870850637555122, -0.02987425960600376, -0.025851290673017502, 0.059270188212394714, -0.014343740418553352, -0.014467660337686539, -0.026894209906458855, 0.06948473304510117, 0.020841319113969803, -0.005370874889194965, -0.008059125393629074, -0.008120199665427208, -0.005122500006109476, -0.00651790015399456, -0.0065783001482486725, -0.006469475105404854, -0.010471724905073643, -0.004554174840450287, -0.007620174903422594, -0.008140849880874157, -0.005107599776238203, -0.006747399922460318, -0.006529300007969141, -0.006603450048714876, -0.010298125445842743, -0.003424749942496419, -0.00797555036842823, -0.007972899824380875, -0.005455874837934971, -0.006468675099313259, -0.006550425197929144, -0.006400649901479483, -0.010317225009202957, 0.0, 2184262.0]"
18,1162054.7273846501,"[-0.01769232004880905, -0.01258321013301611, 0.03886653855443001, -0.02388026937842369, -0.017026469111442566, -0.012543739750981331, 0.03287402167916298, -0.02339348942041397, -0.011087209917604923, -0.021460499614477158, -0.002020190004259348, -0.018431229516863823, -0.009798520244657993, -0.01901642046868801, 0.043429769575595856, -0.008433169685304165, -0.008337079547345638, 0.02793888933956623, -0.01964429020881653, -0.028093090280890465, -0.012843269854784012, -0.0105355903506279, -0.01751800999045372, -0.027710560709238052, -0.02916198968887329, -0.025242740288376808, 0.060759130865335464, -0.014212019741535187, -0.012339569628238678, -0.026608789339661598, 0.07077295333147049, 0.022866159677505493, -0.005369225051254034, -0.008052850142121315, -0.008112724870443344, -0.005120775196701288, -0.006516775116324425, -0.006574875209480524, -0.006468874868005514, -0.01047157496213913, -0.004553500097244978, -0.007616925053298473, -0.008138550445437431, -0.005117849912494421, -0.006746075116097927, -0.006527400109916925, -0.006600374821573496, -0.0102979252114892, -0.003437275066971779, -0.007974499836564064, -0.007973150350153446, -0.005460274871438742, -0.00646707508713007, -0.00654934998601675, -0.006396925076842308, -0.010316199623048306, 0.0, 2184263.0]"
19,1162054.7293377751,"[-0.015933960676193237, -0.012336409650743008, 0.040331270545721054, -0.023816760629415512, -0.017115360125899315, -0.011793560348451138, 0.03403891995549202, -0.023270219564437866, -0.011203589849174023, -0.021496020257472992, 0.000255730003118515, -0.0182481799274683, -0.009774650447070599, -0.01894116960465908, 0.04446737840771675, -0.005942690186202526, -0.007747820112854242, 0.02909849025309086, -0.019470639526844025, -0.028179900720715523, -0.012858039699494839, -0.01030576042830944, -0.016774959862232208, -0.027762819081544876, -0.02868085913360119, -0.024925770238041878, 0.06190754100680351, -0.0142729002982378, -0.010691040195524693, -0.02652801014482975, 0.07174298912286758, 0.024329889565706253, -0.005351425148546696, -0.008035775274038315, -0.008099175058305264, -0.005129700060933828, -0.006508174818009138, -0.006563025061041117, -0.006460050120949745, -0.010457124561071396, -0.004545149859040976, -0.0076080248691141605, -0.008126550354063511, -0.005105224903672934, -0.006737750023603439, -0.006516424939036369, -0.006593524944037199, -0.010285424999892712, -0.0034267751034349203, -0.007965950295329094, -0.00796542502939701, -0.005453424993902445, -0.006457900162786245, -0.006544175092130899, -0.006388249807059765, -0.010302024893462658, 0.0, 2184264.0]"
